job_id,title,company,location,link,posted_date,posted_text,scraped_at,match_score,recommendation,matched_skills,missing_skills,job_benefits,analysis
926fba25c2a9d22632edab7f64a8704b,Data Scientist/ML Engineer,Loansquare,"Tunis, Tunis, Tunisia",https://tn.linkedin.com/jobs/view/data-scientist-ml-engineer-at-loansquare-4315282249,2025-10-16,4 months ago,2026-03-05T00:53:41.105714,7,Apply,"Python, Scikit-learn, TensorFlow, Machine Learning, Data Pipelines, Git, Cloud Environments","Financial Domain Knowledge, Prompt Engineering, GPU Deployment","International Environment, Diversity and Inclusion","Zaineb Zouari's resume shows strong alignment with the job posting in terms of technical skills and experience with machine learning and data pipelines. However, the lack of financial domain knowledge and specific prompt engineering experience could be a concern. Overall, she is a good fit and could be a strong candidate with additional training or projects in these areas."
52f076293470d8dfceff475f0159647c,Junior AI Engineer,Devoteam,"Tunis, Tunis, Tunisia",https://tn.linkedin.com/jobs/view/junior-ai-engineer-at-devoteam-4304224854,2026-03-01,3 days ago,2026-03-05T00:57:52.828631,7,Apply,"Machine Learning & NLP, Python, APIs, Agile methodologies","Experience with cloud APIs, Specific NLP projects","Digital transformation, Innovative projects","Zaineb Zouari has a strong background in AI and relevant technical skills, making her a good fit for the role. However, she may need to showcase more specific NLP projects and cloud API experience to fully align with the job posting."
095b3667a3e852cf4f2faad1f597d5b6,Software Engineer Annotator,Odixcity Consulting,Tunisia,https://tn.linkedin.com/jobs/view/software-engineer-annotator-at-odixcity-consulting-4378022234,2026-02-25,1 week ago,2026-03-05T00:59:18.357773,7,Maybe Apply,"Python, Data Structures and Algorithms, AI and ML, Coding Review","Data Annotation Experience, API and Backend Systems Experience","Remote Work, AI Training and Coding Review","Zaineb has relevant skills in Python and AI, making her a good fit. However, she lacks specific experience in data annotation and API/backend systems, which are crucial for the role."
d81a76335b1ad4a1fea968118228bd24,Data Scientist,Yassir,"Tunis, Tunisia",https://tn.linkedin.com/jobs/view/data-scientist-at-yassir-4292022486,2025-08-27,6 months ago,2026-03-05T01:00:16.912118,7,Maybe Apply,"Python, Deep Learning, Data Analysis, Machine Learning, AI & DL","SQL, Statistical software (e.g. R), Product intuition, Cross-functional collaboration","Great compensation and bonuses including stock options, Blue sky opportunity with the team; shape the strategic direction of the company, Sharp, motivated co-workers in a fun hybrid environment, Paid company holidays","Zaineb Zouari has strong skills in AI, deep learning, and data analysis, which align well with the job requirements. However, she lacks some key skills and experiences mentioned in the job posting, such as SQL, R, and cross-functional collaboration experience."
dc00b50e22cf92ef35049c76b4353b96,Data Scientist/ML Engineer,Linedata,"Tunis, Tunis, Tunisia",https://tn.linkedin.com/jobs/view/data-scientist-ml-engineer-at-linedata-4353957116,2026-02-12,2 weeks ago,2026-03-05T01:02:08.960161,7,Apply,"Python, scikit-learn, TensorFlow, Flask, Git, Machine Learning, Deep Learning","Financial Market Knowledge, Prompt Engineering","International Environment, Ego-Free and Relaxed Work Environment, Diversity and Inclusion","The candidate's background aligns well with the job requirements, particularly in terms of technical skills and experience with machine learning and data analysis. However, some financial domain knowledge and prompt engineering experience are missing."
ae720c2199e8debbf0ee4889cbd9c22e,MLOps/AI Infrastructure Engineer,Ooredoo Tunisie,"Tunis, Tunisia",https://tn.linkedin.com/jobs/view/mlops-ai-infrastructure-engineer-at-ooredoo-tunisie-4378739795,2026-02-27,5 days ago,2026-03-05T01:05:04.073136,7,Maybe Apply,"container orchestration platforms, ML experiment tracking, cloud platforms, CI/CD tools, security best practices, Infrastructure-as-Code tools, monitoring and observability tools, scripting skills, Linux system administration","service mesh, API gateways, GDPR, AI Act, compliance automation, Cloud Financial Management (FinOps)","caring, connecting & challenging values, multinational and innovative company, cutting-edge technologies, collaborative team, attractive compensation, transportation provided","Zaineb has a strong background in AI and DevOps, aligning well with the job requirements. However, some specific skills are missing, such as service mesh and API gateways, which might be crucial for the role. "
65521456388590eb3ba7e33f65183381,AI Engineer [F/M/X],Mantu,"Ariana, Tunisia",https://tn.linkedin.com/jobs/view/ai-engineer-f-m-x-at-mantu-4357359491,2026-02-03,4 weeks ago,2026-03-05T01:06:43.873630,7,Apply,"Machine Learning Models, Python, Docker, Flask, CI/CD Processes, Data Science","Agentic Coding, Vibe Coding, Generative AI","International Community, Internal Training Academy, Diverse Workplace","Zaineb Zouari's resume demonstrates strong skills in machine learning, Python, and CI/CD processes, which align well with the job posting. However, there are some specific skills like agentic coding and generative AI that are missing."
4c1016567a29bd5baa2d0db14633d5b9,Devops Engineer Annotator,Odixcity Consulting,Tunisia,https://tn.linkedin.com/jobs/view/devops-engineer-annotator-at-odixcity-consulting-4378030053,2026-02-25,1 week ago,2026-03-05T01:08:15.267999,5,Maybe Apply,"Git, Jenkins, Docker, Linux","AWS Certified DevOps Engineer, Certified Kubernetes Administrator (CKA), Microsoft Azure DevOps Engineer Expert, Google Professional DevOps Engineer, Strong knowledge of cloud platforms (AWS, Azure, or GCP), Familiarity with monitoring and observability tools such as Datadog, ELK Stack, Grafana, and Prometheus","Annotate infrastructure-as-code and automation datasets, Evaluate CI/CD pipeline configurations, Review deployment scripts and cloud infrastructure setups, Label monitoring, logging, and system reliability scenarios, Validate container orchestration and automation workflows","Zaineb has relevant DevOps experience with tools like Git, Jenkins, and Docker, but is missing key certifications and cloud platform expertise required for the role."
294a89a4801312f47df08ed48e756d39,Senior Generative AI (Gen AI) Engineer,InnovationTeam,Tunisia,https://tn.linkedin.com/jobs/view/senior-generative-ai-gen-ai-engineer-at-innovationteam-4373285188,2026-02-15,2 weeks ago,2026-03-05T01:09:28.815067,7,Apply,"Large Language Models, Python, Deep Learning, Transformers, AI Agents, NLP, RAG, Git, Kubernetes, Cloud Platforms","GPU-based training and inference, MLOps, Experience in regulated or enterprise environments, Knowledge of AI governance, ethics, and compliance frameworks","Opportunity to work on cutting-edge Generative AI projects, Collaborative, innovation-driven environment, Competitive compensation package, Access to modern AI infrastructure and cloud resources, Professional growth and learning opportunities","Zaineb Zouari's resume aligns well with the job posting, showcasing relevant skills in generative AI, large language models, and deep learning. However, there are some gaps in specific technologies and experience that the job posting emphasizes."
5c2fa965b62d940eeb212637a1120727,ML Engineer Intern (Computer Vision),Orakl Oncology,"Le Kremlin-Bicêtre, Île-de-France, France",https://fr.linkedin.com/jobs/view/ml-engineer-intern-computer-vision-at-orakl-oncology-4379183501,2026-03-03,1 day ago,2026-03-05T01:11:11.979134,7,Apply,"computer vision, deep learning, Python, feature extraction, model debugging","data pipelines, ETL processes, experimental imaging data","concrete case study, intersection of data and biology","Zaineb's resume demonstrates strong skills in computer vision and deep learning, aligning well with the job requirements. However, she lacks specific experience in data pipelines and ETL processes, which are preferred but not mandatory. Her background in experimental data and computer vision could be valuable."
